embedding_model,index,outcome,outcome_label,r2_index,r2_resid_explained_by_emb,delta_r2,pct_unexplained_var,r2_sequential_combined,n_train,n_test
AlphaEarth Foundations,ReADI,ACCESS2,Lack of health insurance,0.5576,0.2022,0.0894,0.2022,0.647,55348,21979
AlphaEarth Foundations,ReADI,ARTHRITIS,Arthritis,0.0419,0.3471,0.3326,0.3471,0.3745,55348,21979
AlphaEarth Foundations,ReADI,BINGE,Binge drinking,0.1262,-0.0338,0,0,0.1262,55348,21979
AlphaEarth Foundations,ReADI,BPHIGH,High blood pressure,0.1708,0.3895,0.323,0.3895,0.4938,55348,21979
AlphaEarth Foundations,ReADI,BPMED,BP medication use,-0.1291,0.3504,0.3956,0.3504,0.2665,55348,21979
AlphaEarth Foundations,ReADI,CANCER,Cancer (excl. skin),0.0617,0.0485,0.0455,0.0485,0.1072,55348,21979
AlphaEarth Foundations,ReADI,CASTHMA,Current asthma,0.267,0.2593,0.19,0.2593,0.457,55348,21979
AlphaEarth Foundations,ReADI,CHD,Coronary heart disease,0.2748,0.2657,0.1927,0.2657,0.4675,55348,21979
AlphaEarth Foundations,ReADI,CHECKUP,Annual checkup,-0.2235,0.5355,0.6551,0.5355,0.4316,55348,21979
AlphaEarth Foundations,ReADI,CHOLSCREEN,Cholesterol screening,0.3505,0.2971,0.193,0.2971,0.5435,55348,21979
AlphaEarth Foundations,ReADI,COGNITION,Cognitive decline,0.7579,-0.1389,0,0,0.7579,55348,21979
AlphaEarth Foundations,ReADI,COLON_SCREEN,Colorectal cancer screening,0.206,0.4447,0.3531,0.4447,0.5591,60053,21978
AlphaEarth Foundations,ReADI,COPD,COPD,0.4857,0.3242,0.1668,0.3242,0.6525,55348,21979
AlphaEarth Foundations,ReADI,CSMOKING,Current smoking,0.7317,0.1238,0.0332,0.1238,0.7649,55348,21979
AlphaEarth Foundations,ReADI,DENTAL,Dental visit,0.8092,0.1211,0.0231,0.1211,0.8323,60055,21979
AlphaEarth Foundations,ReADI,DEPRESSION,Depression,-0.1154,-0.0541,0,0,-0.1154,55348,21979
AlphaEarth Foundations,ReADI,DIABETES,Diabetes,0.5494,0.0281,0.0127,0.0281,0.5621,55348,21979
AlphaEarth Foundations,ReADI,DISABILITY,Any disability,0.8044,-0.062,0,0,0.8044,55348,21979
AlphaEarth Foundations,ReADI,EMOTIONSPT,Emotional support,0.1235,0.2169,0.1901,0.2169,0.3136,40352,18580
AlphaEarth Foundations,ReADI,FOODINSECU,Food insecurity,0.7393,0.0713,0.0186,0.0713,0.7579,40352,18580
AlphaEarth Foundations,ReADI,FOODSTAMP,Food stamp use,0.7098,-0.0686,0,0,0.7098,40352,18580
AlphaEarth Foundations,ReADI,GHLTH,Fair/poor general health,0.7462,0.0188,0.0048,0.0188,0.751,55348,21979
AlphaEarth Foundations,ReADI,HEARING,Hearing disability,0.1745,0.0623,0.0514,0.0623,0.2259,55348,21979
AlphaEarth Foundations,ReADI,HIGHCHOL,High cholesterol,-0.1119,0.1764,0.1961,0.1764,0.0842,55348,21979
AlphaEarth Foundations,ReADI,HOUSINSECU,Housing insecurity,0.6382,0.0482,0.0174,0.0482,0.6556,40352,18580
AlphaEarth Foundations,ReADI,INDEPLIVE,Independent living difficulty,0.8712,-0.3381,0,0,0.8712,55348,21979
AlphaEarth Foundations,ReADI,LACKTRPT,Lack of transportation,0.7451,0.1417,0.0361,0.1418,0.7812,40352,18580
AlphaEarth Foundations,ReADI,LONELINESS,Loneliness,0.0342,-0.2657,0,0,0.0342,40352,18580
AlphaEarth Foundations,ReADI,LPA,Physical inactivity,0.7617,-0.2339,0,0,0.7617,55348,21979
AlphaEarth Foundations,ReADI,MAMMOUSE,Mammography use,0.3277,0.2614,0.1758,0.2614,0.5035,60024,21970
AlphaEarth Foundations,ReADI,MHLTH,Poor mental health days,0.5987,-0.2772,0,0,0.5987,55348,21979
AlphaEarth Foundations,ReADI,MOBILITY,Mobility disability,0.667,0.0639,0.0213,0.0639,0.6883,55348,21979
AlphaEarth Foundations,ReADI,OBESITY,Obesity,0.4459,0.2155,0.1194,0.2155,0.5653,55348,21979
AlphaEarth Foundations,ReADI,PHLTH,Poor physical health days,0.7445,0.06,0.0153,0.06,0.7598,55348,21979
AlphaEarth Foundations,ReADI,SELFCARE,Self-care disability,0.8035,-0.0806,0,0,0.8035,55348,21979
AlphaEarth Foundations,ReADI,SHUTUTILITY,Utility shutoff,0.7888,0.0449,0.0095,0.0449,0.7983,40352,18580
AlphaEarth Foundations,ReADI,SLEEP,Short sleep duration,0.4753,-0.0749,0,0,0.4753,60055,21979
AlphaEarth Foundations,ReADI,STROKE,Stroke,0.4809,0.1958,0.1016,0.1958,0.5825,55348,21979
AlphaEarth Foundations,ReADI,TEETHLOST,Tooth loss,0.8244,0.0476,0.0083,0.0475,0.8327,60030,21971
AlphaEarth Foundations,ReADI,VISION,Vision disability,0.806,0.1853,0.0359,0.1853,0.8419,55348,21979
AlphaEarth Foundations,SDI,ACCESS2,Lack of health insurance,0.423,0.1406,0.0811,0.1406,0.5041,55348,21979
AlphaEarth Foundations,SDI,ARTHRITIS,Arthritis,-0.0358,0.2642,0.2737,0.2642,0.2379,55348,21979
AlphaEarth Foundations,SDI,BINGE,Binge drinking,0.0367,0.0265,0.0256,0.0265,0.0623,55348,21979
AlphaEarth Foundations,SDI,BPHIGH,High blood pressure,-0.183,0.3914,0.463,0.3914,0.28,55348,21979
AlphaEarth Foundations,SDI,BPMED,BP medication use,-0.0313,0.2842,0.2931,0.2842,0.2618,55348,21979
AlphaEarth Foundations,SDI,CANCER,Cancer (excl. skin),0.3225,-0.2764,0,0,0.3225,55348,21979
AlphaEarth Foundations,SDI,CASTHMA,Current asthma,0.0546,0.298,0.2818,0.298,0.3364,55348,21979
